time[s],setpoint[rad],velocity[rad]
 60.542500,4690.33545,4690.33789
 60.545000,4690.33545,4690.33789
 60.547500,4690.33545,4690.32422
 60.550000,4690.33545,4690.33691
 60.552500,4690.33545,4690.33008
 60.555000,4690.33545,4690.34180
 60.557500,4690.33545,4690.34180
 60.560000,4690.33545,4690.33350
 60.562500,4690.33545,4690.30518
 60.565000,4690.33545,4690.30518
 60.567500,4690.33545,4690.36328
 60.570000,4690.33545,4690.38672
 60.572500,4690.33545,4690.26562
 60.575000,4690.33545,4690.26562
 60.577500,4690.33545,4690.33545
 60.580000,4690.33545,4690.34033
 60.582500,4690.33545,4690.33594
 60.585000,4690.33545,4690.33594
 60.587500,4690.33545,4690.32764
 60.590000,4690.33545,4690.34033
 60.592500,4690.33545,4690.33594
 60.595000,4690.33545,4690.33643
 60.597500,6238.96533,4690.33154
 60.600000,6238.96533,4690.33154
 60.602500,6238.96533,4690.33594
 60.605000,6238.96533,5543.09033
 60.607500,6238.96533,5926.32275
 60.610000,6238.96533,6098.48584
 60.612500,6238.96533,6175.83594
 60.615000,6238.96533,6226.21826
 60.617500,6238.96533,6233.24365
 60.620000,6238.96533,6236.39502
 60.622500,6238.96533,6237.82031
 60.625000,6238.96533,6237.82031
 60.627500,6238.96533,6238.43994
 60.630000,6238.96533,6238.88428
 60.632500,6238.96533,6238.88428
 60.635000,6238.96533,6238.91602
 60.637500,6238.96533,6238.91406
 60.640000,6238.96533,6238.96680
 60.642500,6238.96533,6238.93604
 60.645000,6238.96533,6238.98779
 60.647500,6238.96533,6238.98779
 60.650000,6238.96533,6238.94385
 60.652500,6238.96533,6238.94385
 60.655000,6238.96533,6238.98877
 60.657500,6238.96533,6238.96338
 60.660000,6238.96533,6238.94336
 60.662500,6238.96533,6238.96387
 60.665000,6238.96533,6238.93652
 60.667500,6238.96533,6238.93652
 60.670000,6238.96533,6238.97314
 60.672500,6238.96533,6238.94434
 60.675000,6238.96533,6238.98828
 60.677500,6238.96533,6238.96289
 60.680000,6238.96533,6238.96289
 60.682500,6238.96533,6238.94531
 60.685000,6238.96533,6238.99023
 60.687500,6238.96533,6238.93457
 60.690000,6238.96533,6238.93457
 60.692500,6238.96533,6238.97119
 60.695000,6238.96533,6238.94238
 60.697500,6238.96533,6238.98975
 60.700000,6238.96533,6238.96680
 60.702500,6238.96533,6238.96680
 60.705000,6238.96533,6238.99268
 60.707500,6238.96533,6238.99268
 60.710000,6238.96533,6238.96777
 60.712500,6238.96533,6238.93604
 60.715000,6238.96533,6238.98486
 60.717500,6238.96533,6238.97412
 60.720000,6238.96533,6238.98828
 60.722500,6238.96533,6238.96484
 60.725000,6238.96533,6238.96484
 60.727500,6238.96533,6238.94141
 60.730000,6238.96533,6238.99219
 60.732500,6238.96533,6238.93604
 60.735000,6238.96533,6238.93604
 60.737500,6238.96533,6238.97949
 60.740000,6238.96533,6238.97217
 60.742500,6238.96533,6239.01074
 60.745000,6238.96533,6239.01074
 60.747500,6238.96533,6238.98633
 60.750000,6238.96533,6238.95850
 60.752500,6238.96533,6238.95654
 60.755000,6238.96533,6238.96680
 60.757500,6238.96533,6238.96826
 60.760000,6238.96533,6238.96826
 60.762500,6238.96533,6238.97461
 60.765000,6238.96533,6238.94238
 60.767500,6238.96533,6238.97803
 60.770000,6238.96533,6238.96436
 60.772500,6238.96533,6238.96436
 60.775000,6238.96533,6238.94141
 60.777500,6238.96533,6238.96973
 60.780000,6238.96533,6238.95557
 60.782500,6238.96533,6238.95557
 60.785000,6238.96533,6238.98877
 60.787500,6238.96533,6238.94531
 60.790000,6238.96533,6238.99121
 60.792500,6238.96533,6238.99121
 60.795000,6238.96533,6238.95801
 60.797500,6238.96533,6238.94824
 60.800000,2847.01416,6238.95898
 60.802500,2847.01416,6238.95898
 60.805000,2847.01416,5120.60742
 60.807500,2847.01416,5120.60742
 60.810000,2847.01416,4371.09619
 60.812500,2847.01416,3868.63989
 60.815000,2847.01416,3531.82397
 60.817500,2847.01416,3306.07837
 60.820000,2847.01416,3154.72681
 60.822500,2847.01416,3053.27563
 60.825000,2847.01416,2985.28296
 60.827500,2847.01416,2939.69629
 60.830000,2847.01416,2888.65576
 60.832500,2847.01416,2888.65576
 60.835000,2847.01416,2874.93140
 60.837500,2847.01416,2859.56006
 60.840000,2847.01416,2855.41797
 60.842500,2847.01416,2852.65210
 60.845000,2847.01416,2852.65210
 60.847500,2847.01416,2849.54419
 60.850000,2847.01416,2848.70801
 60.852500,2847.01416,2848.15381
 60.857500,2847.01416,2848.15381
 60.857500,2847.01416,2847.78198
 60.860000,2847.01416,2847.78198
 60.865000,2847.01416,2847.35376
 60.865000,2847.01416,2847.17358
 60.867500,2847.01416,2847.17358
 60.870000,2847.01416,2847.07959
 60.872500,2847.01416,2847.07959
 60.875000,2847.01416,2847.06226
 60.877500,2847.01416,2847.05054
 60.880000,2847.01416,2847.03125
 60.882500,2847.01416,2847.02539
 60.885000,2847.01416,2847.02539
 60.887500,2847.01416,2847.02588
 60.890000,2847.01416,2847.01489
 60.892500,2847.01416,2847.01782
 60.895000,2847.01416,2846.94092
 60.897500,2847.01416,2846.94092
 60.900000,2847.01416,2847.07666
 60.902500,2847.01416,2847.02051
 60.905000,2847.01416,2847.02051
 60.912500,2847.01416,2847.01001
 60.912500,2847.01416,2847.02002
 60.912500,2847.01416,2847.02002
 60.915000,2847.01416,2847.02002
 60.917500,2847.01416,2847.00757
 60.920000,2847.01416,2847.01831
 60.922500,2847.01416,2847.01099
 60.925000,2847.01416,2847.00977
 60.927500,2847.01416,2847.00977
 60.930000,2847.01416,2847.01855
 60.932500,2847.01416,2847.01855
 60.935000,2847.01416,2847.00952
 60.937500,2847.01416,2847.01123
 60.940000,2847.01416,2847.01929
 60.942500,2847.01416,2847.01074
 60.945000,2847.01416,2847.01074
 60.947500,2847.01416,2847.01025
 60.950000,2847.01416,2847.01904
 60.952500,2847.01416,2847.01025
 60.955000,2847.01416,2847.01025
 60.957500,2847.01416,2847.01611
 60.960000,2847.01416,2847.01953
 60.962500,2847.01416,2847.01074
 60.965000,2847.01416,2847.01025
 60.967500,2847.01416,2847.01025
 60.970000,2847.01416,2847.01587
 60.972500,2847.01416,2847.01929
 60.975000,2847.01416,2847.01050
 60.977500,2847.01416,2847.01611
 60.980000,2847.01416,2847.01953
 60.982500,2847.01416,2847.01074
 60.985000,2847.01416,2847.01074
 60.987500,2847.01416,2847.01025
 60.990000,2847.01416,2847.01587
 60.992500,2847.01416,2847.01050
 60.995000,2847.01416,2847.01050
 60.997500,2847.01416,2847.01074
 61.000000,1899.55884,2847.01611
 61.002500,1899.55884,2847.01074
 61.005000,1899.55884,2534.65332
 61.007500,1899.55884,2534.65332
 61.010000,1899.55884,2325.27930
 61.012500,1899.55884,2090.84277
 61.015000,1899.55884,2027.77991
 61.017500,1899.55884,1985.51086
 61.020000,1899.55884,1985.51086
 61.022500,1899.55884,1957.17920
 61.025000,1899.55884,1938.17529
 61.027500,1899.55884,1925.44434
 61.030000,1899.55884,1916.91284
 61.032500,1899.55884,1907.35217
 61.035000,1899.55884,1907.35217
 61.037500,1899.55884,1904.78308
 61.040000,1899.55884,1903.06323
 61.042500,1899.55884,1901.12915
 61.045000,1899.55884,1900.61157
 61.047500,1899.55884,1900.61157
 61.050000,1899.55884,1900.26697
 61.052500,1899.55884,1900.03857
 61.055000,1899.55884,1899.76941
 61.057500,1899.55884,1899.70239
 61.060000,1899.55884,1899.70239
 61.062500,1899.55884,1899.66028
 61.065000,1899.55884,1899.59937
 61.067500,1899.55884,1899.59937
 61.070000,1899.55884,1899.58850
 61.072500,1899.55884,1899.58386
 61.075000,1899.55884,1899.56775
 61.077500,1899.55884,1899.56506
 61.080000,1899.55884,1899.56543
 61.082500,1899.55884,1899.57532
 61.085000,1899.55884,1899.55688
 61.087500,1899.55884,1899.55884
 61.090000,1899.55884,1899.55884
 61.092500,1899.55884,1899.55823
 61.095000,1899.55884,1899.55627
 61.097500,1899.55884,1899.56299
 61.100000,1899.55884,1899.55688
 61.102500,1899.55884,1899.55420
 61.105000,1899.55884,1899.55420
 61.107500,1899.55884,1899.55994
 61.110000,1899.55884,1899.54614
 61.112500,1899.55884,1899.54614
 61.115000,1899.55884,1899.55469
 61.117500,1899.55884,1899.56128
 61.120000,1899.55884,1899.55945
 61.122500,1899.55884,1899.56360
 61.125000,1899.55884,1899.55005
 61.127500,1899.55884,1899.56104
 61.130000,1899.55884,1899.56140
 61.132500,1899.55884,1899.56140
 61.135000,1899.55884,1899.55737
 61.137500,1899.55884,1899.55737
 61.140000,1899.55884,1899.55957
 61.142500,1899.55884,1899.55957
 61.147500,1899.55884,1899.56433
 61.147500,1899.55884,1899.55640
 61.150000,1899.55884,1899.55640
 61.152500,1899.55884,1899.55957
 61.155000,1899.55884,1899.55469
 61.157500,1899.55884,1899.55652
 61.160000,1899.55884,1899.55652
 61.162500,1899.55884,1899.56445
 61.165000,1899.55884,1899.56445
 61.167500,1899.55884,1899.55493
 61.170000,1899.55884,1899.55640
 61.172500,1899.55884,1899.56445
 61.175000,1899.55884,1899.55481
 61.177500,1899.55884,1899.55640
 61.180000,1899.55884,1899.55640
 61.182500,1899.55884,1899.55957
 61.185000,1899.55884,1899.55481
 61.187500,1899.55884,1899.55640
 61.190000,1899.55884,1899.55957
 61.192500,1899.55884,1899.55957
 61.195000,1899.55884,1899.55481
 61.197500,1899.55884,1899.55640
 61.200000,7793.21924,1899.55957
 61.202500,7793.21924,1899.55957
 61.205000,7793.21924,5144.95947
 61.207500,7793.21924,7258.57324
 61.210000,7793.21924,7258.57324
 61.212500,7793.21924,7553.00098
 61.215000,7793.21924,7685.26953
 61.217500,7793.21924,7744.71338
 61.220000,7793.21924,7771.43555
 61.222500,7793.21924,7783.42236
 61.225000,7793.21924,7788.81934
 61.227500,7793.21924,7791.24219
 61.230000,7793.21924,7792.82471
 61.232500,7793.21924,7792.82471
 61.235000,7793.21924,7793.04980
 61.237500,7793.21924,7793.18066
 61.240000,7793.21924,7793.18066
 61.242500,7793.21924,7793.20264
 61.245000,7793.21924,7793.21924
 61.247500,7793.21924,7793.21924
 61.250000,7793.21924,7793.22705
 61.252500,7793.21924,7793.21680
