time[s],setpoint[kRPM],velocity[kRPM]
1.504033,4023.89,4025.43
1.509233,4023.89,4025.43
1.514452,4023.89,4025.43
1.519661,4023.89,4025.29
1.524885,4023.89,4025.43
1.53014,4023.89,4025.29
1.535377,4023.89,4025.43
1.540618,4023.89,4025.43
1.545874,4023.89,4025.43
1.551075,4023.89,4025.29
1.556322,4023.89,4025.43
1.561536,4023.89,4025.43
1.56678,4023.89,4025.29
1.572102,4023.89,4025.43
1.577345,4023.89,4025.29
1.582755,4023.89,4025.43
1.588036,4023.89,4025.29
1.593331,4023.89,4025.43
1.598565,4023.89,4025.29
1.603745,4023.89,4025.43
1.608955,4023.89,4025.29
1.614133,4023.89,4025.29
1.619374,4023.89,4025.29
1.624596,4023.89,4025.29
1.629801,4023.89,4025.29
1.635084,4023.89,4025.29
1.640362,4023.89,4025.29
1.645659,4023.89,4025.29
1.650972,4023.89,4025.29
1.656246,4023.89,4025.14
1.661554,4023.89,4025.29
1.666843,4023.89,4025.29
1.67205,4023.89,4025.43
1.677239,4023.89,4025.29
1.682424,4023.89,4025.43
1.687601,4023.89,4025.14
1.693034,4023.89,4025.29
1.69835,4023.89,4025.29
1.703639,4023.89,4025.29
1.708816,4023.89,4025.14
1.714038,4023.89,4025.29
1.719244,4023.89,4025.29
1.724534,4023.89,4025.29
1.729784,4023.89,4025.29
1.735064,4023.89,4025.14
1.740283,4023.89,4025.43
1.745519,4023.89,4025.14
1.750728,4023.89,4025.29
1.755993,4023.89,4025.14
1.761198,4023.89,4025.29
1.766608,4023.89,4025.14
1.772053,4023.89,4025.29
1.777342,4023.89,4025.14
1.782616,4023.89,4025.29
1.787892,4023.89,4025.14
1.793146,4023.89,4025.14
1.798546,4023.89,4025.0
1.80383,4023.89,4025.14
1.809057,4023.89,4024.86
1.814417,4023.89,4025.0
1.819584,4023.89,4025.0
1.824814,4023.89,4025.0
1.830005,4023.89,4025.0
1.835167,4023.89,4025.0
1.840327,4023.89,4025.0
1.845515,4023.89,4025.0
1.850704,4023.89,4025.0
1.855946,4023.89,4024.86
1.861164,4023.89,4025.0
